"search-number","evaluation","evals-requested-so-far","sun-brightness*","albedo*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","120","160","4.800000000000001","0.1","""803405358""","49.63004395018313","49.63004395018313","49.63004395018313","0","49.63004395018313"
"1","121","160","1.6","0.9500000000000001","""1678651529""","14.723849355915368","14.723849355915368","14.723849355915368","0","14.723849355915368"
"1","122","160","1.6","0.9500000000000001","""-1500352634""","15.766395928700094","15.766395928700094","15.766395928700094","0","15.766395928700094"
"1","123","160","1.6","0.9500000000000001","""1824737461""","15.633979569232292","15.633979569232292","15.633979569232292","0","15.633979569232292"
"1","124","160","1.6","0.9500000000000001","""-581698258""","15.196954232725323","15.196954232725323","15.196954232725323","0","15.196954232725323"
"1","125","160","1.6","0.9500000000000001","""-934924546""","14.696569190927589","14.696569190927589","14.696569190927589","0","14.696569190927589"
"1","126","160","1.6","0.9500000000000001","""-1947865726""","15.565083179436156","15.565083179436156","15.565083179436156","0","15.565083179436156"
"1","127","160","1.6","0.9500000000000001","""1881712437""","14.821422580841762","14.821422580841762","14.821422580841762","0","14.821422580841762"
"1","128","160","1.6","0.9500000000000001","""-1368886141""","14.730121050774748","14.730121050774748","14.730121050774748","0","14.730121050774748"
"1","129","160","1.6","0.9500000000000001","""-558898591""","14.066002782091616","14.066002782091616","14.066002782091616","0","14.066002782091616"
"1","130","160","1.6","0.9500000000000001","""-5652644""","14.367593746396134","14.367593746396134","14.367593746396134","0","14.367593746396134"
"1","131","160","3.4000000000000004","0.6000000000000001","""-1260054083""","32.29011649298067","32.29011649298067","32.29011649298067","0","32.29011649298067"
"1","132","160","3.4000000000000004","0.6000000000000001","""574673710""","31.51285188547847","31.51285188547847","31.51285188547847","0","31.51285188547847"
"1","133","160","3.4000000000000004","0.6000000000000001","""-2079847430""","32.21488939923565","32.21488939923565","32.21488939923565","0","32.21488939923565"
"1","134","160","3.4000000000000004","0.6000000000000001","""-294641448""","33.150946652532525","33.150946652532525","33.150946652532525","0","33.150946652532525"
"1","135","160","3.4000000000000004","0.6000000000000001","""940846198""","34.103515529642024","34.103515529642024","34.103515529642024","0","34.103515529642024"
"1","136","160","3.4000000000000004","0.6000000000000001","""-2007486501""","34.00999156012817","34.00999156012817","34.00999156012817","0","34.00999156012817"
"1","137","160","3.4000000000000004","0.6000000000000001","""-106092080""","32.75830596008673","32.75830596008673","32.75830596008673","0","32.75830596008673"
"1","138","160","3.4000000000000004","0.6000000000000001","""1762450535""","32.73888315194986","32.73888315194986","32.73888315194986","0","32.73888315194986"
"1","139","160","3.4000000000000004","0.6000000000000001","""-1805887204""","33.713977512959545","33.713977512959545","33.713977512959545","0","33.713977512959545"
"1","140","160","3.4000000000000004","0.6000000000000001","""1142095290""","31.989600805970177","31.989600805970177","31.989600805970177","0","31.989600805970177"
"1","141","160","4.6000000000000005","0.15000000000000002","""-395171627""","46.399624936647335","46.399624936647335","46.399624936647335","0","46.399624936647335"
"1","142","160","4.6000000000000005","0.15000000000000002","""536537219""","47.23943682088357","47.23943682088357","47.23943682088357","0","47.23943682088357"
"1","143","160","4.6000000000000005","0.15000000000000002","""1603572566""","46.67257918116483","46.67257918116483","46.67257918116483","0","46.67257918116483"
"1","144","160","4.6000000000000005","0.15000000000000002","""-1520170844""","48.76641268497877","48.76641268497877","48.76641268497877","0","48.76641268497877"
"1","145","160","4.6000000000000005","0.15000000000000002","""787996038""","46.69491038807496","46.69491038807496","46.69491038807496","0","46.69491038807496"
"1","146","160","4.6000000000000005","0.15000000000000002","""-1341278520""","46.45676263253609","46.45676263253609","46.45676263253609","0","46.45676263253609"
"1","147","160","4.6000000000000005","0.15000000000000002","""857734612""","47.797382242394676","47.797382242394676","47.797382242394676","0","47.797382242394676"
"1","148","160","4.6000000000000005","0.15000000000000002","""871128745""","45.24228521681835","45.24228521681835","45.24228521681835","0","45.24228521681835"
"1","149","160","4.6000000000000005","0.15000000000000002","""528836627""","47.837499480283796","47.837499480283796","47.837499480283796","0","47.837499480283796"
"1","150","160","4.6000000000000005","0.15000000000000002","""555354597""","46.11201272533451","46.11201272533451","46.11201272533451","0","46.11201272533451"
"1","151","160","3.6","0.9500000000000001","""-196852186""","20.46579585283385","20.46579585283385","20.46579585283385","0","20.46579585283385"
"1","152","160","3.6","0.9500000000000001","""1110228324""","18.15704862835468","18.15704862835468","18.15704862835468","0","18.15704862835468"
"1","153","160","3.6","0.9500000000000001","""-149268""","19.247194435557045","19.247194435557045","19.247194435557045","0","19.247194435557045"
"1","154","160","3.6","0.9500000000000001","""-698838387""","19.046194023415175","19.046194023415175","19.046194023415175","0","19.046194023415175"
"1","155","160","3.6","0.9500000000000001","""-3480270""","18.919456052655928","18.919456052655928","18.919456052655928","0","18.919456052655928"
"1","156","160","3.6","0.9500000000000001","""463127206""","17.99639920882813","17.99639920882813","17.99639920882813","0","17.99639920882813"
"1","157","160","3.6","0.9500000000000001","""-1226588848""","19.68675980038431","19.68675980038431","19.68675980038431","0","19.68675980038431"
"1","158","160","3.6","0.9500000000000001","""-1318732818""","16.9489112678928","16.9489112678928","16.9489112678928","0","16.9489112678928"
"1","159","160","3.6","0.9500000000000001","""557422171""","17.777741716153166","17.777741716153166","17.777741716153166","0","17.777741716153166"
"1","160","160","3.6","0.9500000000000001","""-481907101""","18.209067038270092","18.209067038270092","18.209067038270092","0","18.209067038270092"
"1","161","170","0.8","0.05","""1862684110""","28.145685061927875","28.145685061927875","28.145685061927875","0","28.145685061927875"
"1","162","170","0.8","0.05","""1634051968""","27.564921482223625","27.564921482223625","27.564921482223625","0","27.564921482223625"
"1","163","170","0.8","0.05","""1891400091""","27.763836016992236","27.763836016992236","27.763836016992236","0","27.763836016992236"
"1","164","170","0.8","0.05","""319508608""","29.74898714402301","29.74898714402301","29.74898714402301","0","29.74898714402301"
"1","165","170","0.8","0.05","""1159972156""","29.129235261252255","29.129235261252255","29.129235261252255","0","29.129235261252255"
"1","166","170","0.8","0.05","""1536976176""","28.610469854650926","28.610469854650926","28.610469854650926","0","28.610469854650926"
"1","167","170","0.8","0.05","""2116908709""","27.52458712848926","27.52458712848926","27.52458712848926","0","27.52458712848926"
"1","168","170","0.8","0.05","""772480380""","28.26784336299031","28.26784336299031","28.26784336299031","0","28.26784336299031"
