"search-number","evaluation","sun-brightness*","albedo*","fitness","num-replicates","best-fitness-so-far"
"1","10","3.4000000000000004","0.30000000000000004","38.83917274541597","10","38.83917274541597"
"1","20","4.2","0.4","40.21177389224216","10","40.21177389224216"
"1","30","0.6000000000000001","0.9500000000000001","13.368728803133825","10","40.21177389224216"
"1","40","0.2","0.5","15.673683272415484","10","40.21177389224216"
"1","50","3.8000000000000003","0.45","37.79060207574777","10","40.21177389224216"
"1","60","0.4","1","11.999999999999998","10","40.21177389224216"
"1","70","2.8000000000000003","0","41.878259870217825","10","41.878259870217825"
"1","80","2.8000000000000003","0.2","38.66264304795938","10","41.878259870217825"
"1","90","3.4000000000000004","0.05","43.16121262948222","10","43.16121262948222"
"1","100","2","0.1","35.77775341375024","10","43.16121262948222"
"1","110","3.4000000000000004","0.65","31.20750277729684","10","43.16121262948222"
"1","120","4.800000000000001","0.1","49.212875136683124","10","49.212875136683124"
"1","130","1.6","0.9500000000000001","14.956797161704108","10","49.212875136683124"
"1","140","3.4000000000000004","0.6000000000000001","32.848307895096376","10","49.212875136683124"
"1","150","4.6000000000000005","0.15000000000000002","46.92189063091169","10","49.212875136683124"
"1","160","3.6","0.9500000000000001","18.64545680243452","10","49.212875136683124"
"1","170","0.8","0.05","28.217474153027297","10","49.212875136683124"
"1","180","1.2000000000000002","0.1","31.873345910543197","10","49.212875136683124"
"1","190","2.6","0.1","39.13279179231987","10","49.212875136683124"
"1","200","2.4000000000000004","0.55","31.419372097056645","10","49.212875136683124"
"1","210","1.2000000000000002","0.75","22.465087699600932","10","49.212875136683124"
"1","220","3.4000000000000004","0.1","42.79876992714153","10","49.212875136683124"
"1","230","0.8","0.9","14.93464155501868","10","49.212875136683124"
"1","240","2.8000000000000003","0.30000000000000004","37.239340379834104","10","49.212875136683124"
"1","250","0","0.75","11.999999999999998","10","49.212875136683124"
"1","260","4","1","11.999999999999998","10","49.212875136683124"
"1","270","0.8","0","28.11094447881117","10","49.212875136683124"
"1","280","2","1","11.999999999999998","10","49.212875136683124"
"1","290","1.4000000000000001","0.05","33.49319457029179","10","49.212875136683124"
"1","300","2.6","0.9500000000000001","16.693178424271757","10","49.212875136683124"
